genre,definition
bluegrass gospel,Gospel music traditional genre Christian cornerstone Christian The definition gospel music varies according culture social Gospel music composed performed including aesthetic religious ceremonial entertainment product Gospel music characterized dominant vocals strong use harmony Christian Gospel music traced early sacred songs repeated response Most churches relied rhythmic Most singing The published use term probably appeared original gospel songs written composed authors George Philip Charles William Howard Fanny Gospel music publishing houses The advent radio greatly increased audience gospel Following World War gospel music moved major gospel music concerts Southern gospel music largely responsible continued presence contemporary Christian soul music far popular music The styles emerged music American folk music traditions evolved ways continuing form basis Black church worship It come churches cultural traditions gospel choir phenomenon spearheaded Thomas form musical devotion Southern Progressive Southern gospel grown Southern gospel past couple Christian country referred country gospel subgenre gospel music country It peaked popularity Bluegrass gospel music rooted American mountain Celtic gospel music infuses gospel music Celtic popular countries British black gospel refers Gospel music African diaspora produced
buffalo hip hop,
chattanooga indie,
detroit indie,
indiana indie,
jump blues,Jump blues style usually played small groups featuring horn It popular precursor rhythm blues rock Appreciation jump blues renewed swing
north carolina roots,
rhode island indie,
austin americana,
dirty south rap,
lancaster pa indie,
latinx alternative,
oakland hip hop,
red dirt,Red Dirt genre country music gets color soil found Many Red Dirt acts got start bars surrounding Oklahoma State University city considered center Red Dirt The genre extends music south Red River Outlaw country legends Waylon Jennings Willie Nelson associated distinctive Texas late Oklahoma Bob Childers widely recognized Father Oklahoma Red Dirt At distinction genres sonically gap
ann arbor indie,
boston punk,Hardcore punk known simply punk rock music genre subculture originated late It generally aggressive forms punk Its roots traced earlier punk scenes San Francisco Southern California arose reaction predominant hippie cultural climate It inspired Washington New York punk rock early Hardcore punk generally disavows established music industry similar characteristics mainstream addresses social political topics sprouted underground scenes United States early particularly Los San New Canada United Hardcore spawned straight edge movement associated hardline youth Hardcore heavily involved rise independent record labels DIY ethics underground music It influenced music genres experienced widespread commercial including grunge thrash music genre started western notable hardcore scenes existed Italy
cali rap,
connecticut indie,
hip hop,Hip hop music known rap genre popular music originated New York City It consists stylized rhythmic music built drum commonly accompanies rhythmic rhyming speech It developed hip hop subculture defined key stylistic break graffiti Other elements include sampling beats bass lines records synthesized beats rhythmic While refer solely properly denotes practice entire The term hip hop music synonymously term rap rapping required component hip hop genre incorporate elements hip hop including instrumental hop musical genre culture formed block parties increasingly popular New York particularly African American youth residing At block DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies alternating extending Hip early evolution occurred sampling technology drum machines widely available Turntablist techniques scratching beatmatching developed Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized hop music officially recorded play radio television largely poverty birth lack acceptance outside ghetto Old school hip hop mainstream wave marked disco influence The marked diversification hip hop genre developed complex styles spread New school hip hop second marked electro led golden age hip innovative period developed hip album The gangsta rap focused violent lifestyles impoverished conditions African American gained popularity West Coast hip hop dominated East Coast hip hop dominated jazz alternative hip hardcore Hip hop continued diversify time regional styles Southern rap Atlanta hip Hip hop genre music genre popularity hip hop music continued late hip hop influences increasingly finding way genres popular neo nu The United States saw success regional styles Southern genre emphasized beats music alternative hip hop began secure place crossover success During late early rappers able build following online methods music social media mainstream hip hop took sensitive direction following commercial decline gangsta The trap mumble rap subgenres popular form hip hop early In rock music usurped hip hop popular genre United
michigan folk,
nashville americana,
pittsburgh indie,
seattle metal,
baltimore hip hop,
bluegrass,Bluegrass music genre American roots music developed Appalachian region United The genre derives band Bill Monroe Blue Grass Like mainstream country largely developed string bluegrass traditionally played exclusively acoustic instruments roots traditional Irish ballads dance tunes blues Bluegrass developed musicians played including banjo player Earl Scruggs guitarist Lester Monroe characterized genre bagpipes Holiness Baptist blues high lonesome features acoustic stringed instruments emphasizes Notes contrast laid blues notes creates higher energy characteristic In forms instruments takes turn playing melody improvising perform especially typified tunes called This contrast instruments play melody instrument carries lead provide Breakdowns characterized rapid tempos unusual instrumental dexterity complex chord
dallas indie,
harlem hip hop,
minneapolis punk,
new orleans indie,
old school atlanta hip hop,
omaha indie,
tennessee metal,
early us punk,
kentucky metal,
mississippi indie,
new orleans blues,New Orleans blues subgenre blues developed city New influenced jazz Caribbean It dominated piano produced guitar
philly soul,Philadelphia called Philly Philadelphia TSOP Sound genre late soul music characterized funk influences lush instrumental featuring sweeping strings piercing The genre laid groundwork disco fusing rhythm sections pop vocal featuring slightly pronounced jazz influence melodic structures Fred trombonist James Brown band described signature deep orchestrated sound bow tie
phoenix indie,
piedmont blues,Piedmont blues known East Southeastern refers primarily guitar characterized fingerpicking approach alternating thumb bass string rhythmic pattern supports syncopated melody treble strings generally picked occasionally The result comparable sound ragtime stride piano Blues researcher Peter Lowry coined giving fellow folklorist Bruce The Piedmont style differentiated particularly Mississippi Delta
stl indie,
bakersfield sound,The Bakersfield sound country music developed Bakersfield subgenre country music significantly influenced rock relying heavily electric instrumentation strongly defined It reaction slickly Nashville popular late The Bakersfield sound popular influential country genres initiating revival music influencing later country rock outlaw country Stewart pioneered Bakersfield performing artists Buck Owens Merle Haggard successful artists original Bakersfield era performing The Buckaroos The Strangers Other major Bakersfield country artists include Jean Shepard Susan
college marching band,
country blues,Country blues folk rural backwoods downhome earliest forms blues The mainly solo vocal acoustic fingerstyle guitar accompaniment developed rural Southern United States early
idaho indie,
kentucky roots,
louisiana metal,
ohio indie,
old school hip hop,hip hop spelled old earliest commercially recorded hip hop music original style It typically refers music created hip hop adhere contemporary styles sounds hip hop exemplified figures like Grandmaster Grandmaster Afrika DJ Kool Treacherous Funky Four Plus Kurtis The Sugarhill Melle West Street Spoonie Kool Moe Busy Bee Lovebug DJ The Cold Crush Warp Grandmaster Doug The Jazzy Rock Steady Fab Five characterized simpler rapping techniques time general focus subject The lyrics usually important rap There exceptions Brother We Gonna Make Black Nation Kurtis released explored socially relevant The release written Duke Bootee Melle Mel credited Grandmaster Flash The Furious marked arrival hip hop social making possible future artists like Public Enemy create identity based socially conscious themes later rappers widely respected current hip hop artists claiming contributed evolution hip
rhythm and blues,Rhythm frequently abbreviated genre popular music originated communities The term originally record companies describe recordings marketed predominantly urban African time jazz based music insistent commercial rhythm blues music typical bands usually consisted background lyrical themes encapsulate experience pain quest freedom triumphs failures terms term undergone number shifts In early frequently applied blues Starting style music contributed development rock term refer music styles developed incorporated electric gospel soul From British bands Rolling Who Animals referred promoted By term changed blanket term soul In late newer style known It combines rhythm blues elements hip electronic
austin hip hop,
chicago punk,
denton tx indie,
duluth indie,
fort wayne indie,
little rock indie,
nashville sound,The Nashville Sound originated subgenre American country replacing chart dominance rough honky tonk popular strings background associated traditional It attempt revive country devastated rise rock distinct genre rockabilly spawned
orlando indie,
rhode island rap,
rochester ny indie,
utah indie,
brooklyn indie,
harlem renaissance,The Harlem Renaissance intellectual cultural revival African American politics scholarship centered New York spanning At known Negro named The New anthology edited Alain The movement included new African American cultural expressions urban areas Northeast Midwest United States affected renewed militancy general struggle civil combined Great Migration African American workers fleeing racist conditions Jim Crow Deep Harlem final destination largest number migrated centered Harlem francophone black writers African Caribbean colonies lived Paris influenced spanned Many ideas lived The zenith Negro James Weldon Johnson preferred Harlem took place A Journal Negro Life hosted party black writers white publishers year crash beginning Great The Harlem Renaissance considered rebirth
kansas indie,
rva indie,
san marcos tx indie,
maine hip hop,
miami hip hop,
mississippi hip hop,
scam rap,
springfield mo indie,
st petersburg fl indie,
albuquerque indie,
indy indie,
la indie,
outlaw country,Outlaw country subgenre American country music created small group iconoclastic artists active early known collectively outlaw fought won creative freedom outside Nashville establishment dictated sound country music Willie Waylon Kris David Allan Coe commercially successful music roots earlier subgenres like honky tonk rockabilly characterized blend rock folk country instrumentation introspective The movement began reaction slick production limiting structures Nashville sound developed record producers like Chet
pennsylvania hardcore,
traditional southern folk,
columbus ohio indie,
delaware indie,
dmv rap,
idaho hip hop,
queens hip hop,
swamp blues,Swamp blues type Louisiana blues developed Black communities Southwest Louisiana It incorporates influences particularly zydeco Its successful proponents include Slim Harpo enjoyed national rhythm blues
american metalcore,
new orleans rap,Southern hip known Southern South Coast hip dirty blanket term regional genre American hip hop music emerged Southern United especially New cities constitute rap music reaction flow hip hop culture New York City Los Angeles area considered major American hip hop alongside East Coast hip hop West Coast hip Many early Southern rap artists released music independently mixtapes encountering difficulty securing contracts By early Southern artists attained decade went mainstream underground varieties Southern hip hop popular influential entire
north carolina indie,
socal indie,
west coast trap,
worcester ma indie,
arkansas indie,
boston indie,
milwaukee hip hop,
progressive bluegrass,Bluegrass music genre American roots music developed Appalachian region United The genre derives band Bill Monroe Blue Grass Like mainstream country largely developed string bluegrass traditionally played exclusively acoustic instruments roots traditional Irish ballads dance tunes blues Bluegrass developed musicians played including banjo player Earl Scruggs guitarist Lester Monroe characterized genre bagpipes Holiness Baptist blues high lonesome features acoustic stringed instruments emphasizes Notes contrast laid blues notes creates higher energy characteristic In forms instruments takes turn playing melody improvising perform especially typified tunes called This contrast instruments play melody instrument carries lead provide Breakdowns characterized rapid tempos unusual instrumental dexterity complex chord
south carolina metal,
west virginia indie,
michigan indie,
second line,Second line refer Line album American Dawn line offensive unit generally composed line tradition brass band parades New associated traditional dance Line shipping line known Robert Kermits Red Star Line New Second American jazz magazine
south carolina indie,
traditional folk,Folk music music genre includes traditional folk music contemporary genre evolved folk Some types folk music called world Traditional folk music defined music transmitted music unknown music played traditional music cultural national music changes generations music associated music performed custom long period It contrasted commercial classical The term originated folk music extends new form popular folk music evolved traditional folk This process period called folk revival reached zenith This form music called contemporary folk music folk revival music distinguish earlier folk similar revivals occurred world term folk music typically applied new music created This type folk music includes fusion genres folk folk While contemporary folk music genre generally distinct traditional folk English shares shares performers venues traditional folk
vapor trap,
delta blues,Delta blues styles It originated Mississippi regarded regional variant country Guitar harmonica dominant slide guitar hallmark Vocal styles Delta blues range introspective soulful passionate
nashville indie,
north carolina hip hop,
seattle hip hop,
slc indie,
alabama rap,
austin rock,
bounce,Bounce music style New Orleans hip hop music said originated early late housing Popular bounce artists included DJ Magnolia Shorty Big
g funk,short gangsta gangsta rap emerged West Coast scene late The genre heavily influenced psychedelic funk sound artists
memphis hip hop,Memphis known Memphis hip hop Memphis regional subgenre hip hop music originated Tennessee early
rap,Hip hop music known rap genre popular music originated New York City It consists stylized rhythmic music built drum commonly accompanies rhythmic rhyming speech It developed hip hop subculture defined key stylistic break graffiti Other elements include sampling beats bass lines records synthesized beats rhythmic While refer solely properly denotes practice entire The term hip hop music synonymously term rap rapping required component hip hop genre incorporate elements hip hop including instrumental hop musical genre culture formed block parties increasingly popular New York particularly African American youth residing At block DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies alternating extending Hip early evolution occurred sampling technology drum machines widely available Turntablist techniques scratching beatmatching developed Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized hop music officially recorded play radio television largely poverty birth lack acceptance outside ghetto Old school hip hop mainstream wave marked disco influence The marked diversification hip hop genre developed complex styles spread New school hip hop second marked electro led golden age hip innovative period developed hip album The gangsta rap focused violent lifestyles impoverished conditions African American gained popularity West Coast hip hop dominated East Coast hip hop dominated jazz alternative hip hardcore Hip hop continued diversify time regional styles Southern rap Atlanta hip Hip hop genre music genre popularity hip hop music continued late hip hop influences increasingly finding way genres popular neo nu The United States saw success regional styles Southern genre emphasized beats music alternative hip hop began secure place crossover success During late early rappers able build following online methods music social media mainstream hip hop took sensitive direction following commercial decline gangsta The trap mumble rap subgenres popular form hip hop early In rock music usurped hip hop popular genre United
tennessee experimental,
trap,Trap subgenre hip hop music originated Southern United States The genre gets Atlanta slang word house exclusively sell Trap music uses synthesized drums characterized complex tuned kick drums long decay Roland drum lyrical content focuses drug use urban It utilizes instruments focuses exclusively snare drums genre include producers Kurtis Mannie Shawty DJ Screw rappers Young Gucci Mane coined term album Trap The modern trap sound popularized producer Lex produced influential Waka Flocka Flame album Flockaveli cofounded prolific production team crossing mainstream trap popular forms American consistently dominating Billboard Hot artists Cardi Lil Uzi Post Young Travis Scott achieving chart songs featuring production inspired trap It influenced music pop Ariana Miley Rihanna Its influence heard reggaetón In popular form music time Nielsen coinciding continued rise In song Town Lil Nas X Billy Ray broke record spending weeks Billboard Hot fastest song reach Diamond
denver indie,
doo-wop,spelled doowop doo genre rhythm blues music originated communities mainly large cities United including New Los It features vocal group harmony carries engaging melodic line simple beat little Lyrics usually sung lead vocal background melodramatically heartfelt recitative addressed Harmonic singing nonsense syllables common characteristic Gaining popularity commercially early continued influence performers
iowa indie,
maine indie,
oakland indie,
pittsburgh indie rock,
san antonio indie,
baltimore indie,
contemporary gospel,gospel modern subgenre gospel Although style developed early forms generally dated genre established end The radio format pitched primarily Christian hip hop considered subtype
redneck,Redneck derogatory term applied white Americans perceived crass closely associated rural whites Southern United meaning possibly stems sunburn found necks dating late Its modern usage similar meaning cracker hillbilly Appalachia white trash suggestions In Cambridge Dictionary definition white person living countryside southern believed prejudiced ideas This word usually considered People white South jocularly insider term offensive meaning expanded include opposition modern monograph A Short History The Fashioning Southern White Masculine emphasized theme masculinity expansion redneck stereotyped media popular culture racist Southern white
roots americana,
south carolina hip hop,
traditional blues,
american grindcore,
hard bop,Hard bop subgenre jazz extension bebop Journalists record companies began term describe new current jazz incorporated influences rhythm gospel especially saxophone piano Rosenthal contends book Hard Bop genre large natural creation generation musicians grew time bop rhythm blues dominant forms black American Prominent hard bop musicians included Horace Clifford Charles Art Cannonball Miles John Hank Thelonious Monk Lee
minneapolis indie,
ohio hip hop,
slc hardcore,
southern soul,Southern soul type soul music emerged Southern United The music originated combination including blues bar early strong gospel influence emanated sounds Southern black Bass horn gospel roots vocal important soul This rhythmic force strong influence rise funk The terms synonymously
clean comedy,Clean comedy comedy genre generally free rape illicit toilet explicitly sexual similarly objectionable Comedians try circumvent restrictions double Clean comedy necessarily comedy considered higher form comedy bits rely shock profanity sexual content elicit Bob Newhart said The Wall Street Journal interview getting laughs clean material got certain satisfaction getting response audience knowing David Brenner said rely dirty humor vulgar language helps sell weak
florida death metal,Florida death metal regional scene stylistic subdivision death Some significantly pioneering death metal acts emerged especially Tampa Bay As Tampa unofficially known death metal fans death The scene coalesced early output bands Nasty Morbid The producer Scott Burns studio Morrisound Recording instrumental developing popularizing Florida Some bands originated outside Malevolent Creation Cannibal relocated state order participate burgeoning The Florida bands featured technical approach evolving death metal style spread confines instrumental creating progressive death metal The death metal genre including Florida declined popularity second half bands Florida scene persisted scene resurged popularity subsequent
oc indie,
portland indie,
jazz blues,The blues blues prominent chord progressions popular The blues progression distinctive form chord In basic predominantly based V chords Mastery blues rhythm changes elements building jazz
mountain dulcimer,The Appalachian dulcimer variant fretted string instrument zither typically originally played Appalachian region United The body extends length fretting generally
sesame street,Sesame Street American educational television series combines sketch animation It produced Sesame Workshop Television Workshop June created Joan Ganz Cooney Lloyd It known images communicated use Jim includes short humor cultural It premiered November positive high It aired United States national public television provider PBS run moving premium channel HBO January sister streaming service HBO Max Sesame Street shows format consists combination commercial television production elements techniques evolved reflect changes American culture viewing It TV use educational goals curriculum shape educational effects formally Its format content undergone significant changes reflect changes producers developed came called CTW Model production previous system production evaluation based collaboration educators The initially funded government private somewhat revenues licensing international sales By independently produced versions Sesame Street broadcast In million viewers international versions Sesame anniversary broadcast Street television United A survey found American preschoolers watched time In estimated million Americans watched As won Emmy Awards Grammy
western ny metal,
dc indie,
houston rap,
texas hardcore,
triangle indie,
baton rouge rap,
classic soul,Classic soul radio format focuses raw types soul music draw certain rhythm blues soul music generally considered smoother sophisticated split indicated Michael album Off considered sit nexus classic contemporary
el paso indie,
florida rap,
knoxville indie,
albany ny indie,
kentucky hip hop,
memphis americana,
milwaukee indie,
north carolina metal,
protest folk,
soul blues,Soul blues style blues music developed mid combines elements soul music
virginia metal,
cincinnati rap,
neo-traditional bluegrass,
new hampshire indie,
ok indie,
old-time,music genre North American folk It developed North American folk square buck It played acoustic generally centering combination fiddle plucked string The genre considered precursor modern country
arizona punk,
austindie,
chicano punk,Chicano rock rock music performed Mexican American groups music themes derived Chicano Chicano great refer single style Some groups sing Spanish use specific Latin instruments The subgenre defined ethnicity result covers wide range
philly indie,
pre-war blues,
tempe indie,
acoustic blues,Country blues folk rural backwoods downhome earliest forms blues The mainly solo vocal acoustic fingerstyle guitar accompaniment developed rural Southern United States early
baton rouge indie,
country rap,Country rap country hip hop hick fusion genre popular blending country music hip singing
jam band,A jam band musical group concerts live characterized lengthy improvisational These include extended musical improvisation rhythmic grooves chord long sets music cross genre Most jam band sets consist variations songs released studio Jam bands known having fluid having song lead musical spawned psychedelic rock movement feature nationally famed groups Grateful Dead The Allman Brothers regular touring schedules continued The style influenced new wave jam bands toured United States jam concerts late early Blues Widespread Dave Matthews The String Cheese Bruce Hampton Aquarium Rescue The movement gained mainstream exposure US early rise Phish Dave Matthews Band major touring acts dissolution Grateful Dead following Jerry death artists perform wide variety While Grateful Dead categorized term applied acts incorporated genres country contemporary folk progressive world jazz Southern alternative acid folk rock electronic music Although term describe improvisational retains affinity fan cultures Grateful Dead feature scene fan recording live While mainstream music industry views fan taping jam bands allow fans tapes recordings live Fans trade recordings collect recordings different live improvisational jam bands play songs differently
praise,Contemporary worship music known praise worship defined genre Christian music contemporary It developed past years stylistically similar pop The songs frequently referred typically led guitarist pianist It common genre music sung particularly charismatic Protestant churches Roman Catholic congregations incorporating mass
arkansas country,
bebop,Bebop bop style jazz developed United The style features compositions characterized fast complex chord progressions rapid chord changes numerous changes instrumental improvisation based combination harmonic use scales occasional references developed younger generation jazz musicians expanded creative possibilities jazz swing new danceable demanded close As bebop intended enabled musicians play faster Bebop musicians explored advanced complex altered extended chord asymmetrical intricate Bebop groups rhythm sections way expanded Whereas key ensemble swing music era big band fourteen pieces playing classic bebop group small combo consisted saxophone double drums playing music ensemble played supportive role Rather play heavily arranged bebop musicians typically played melody composition accompaniment rhythm followed section performers improvised returned melody end influential bebop typically alto sax player Charlie tenor sax players Dexter Sonny James clarinet player Buddy trumpeters Fats Clifford Miles Dizzy pianists Bud Powell Thelonious electric guitarist Charlie drummers Kenny Max Art
boston rock,
drill,Drill subgenre hip hop music originated Chicago streets early It sonically similar trap music subgenre lyrically similar gangsta rap Drill music progressed American mainstream circa following success rappers like Chief Lil Lil Fredo G King Pop Smoke King local fans significant internet alongside producer Young Media attention signing drill musicians major labels Artists genre noted style lyricism association crime regional subgenre UK drill emerged particularly district beginning UK drill rose prominence influenced regional Brooklyn drill Brooklyn late
eugene indie,
miami indie,
midwest americana,
new england emo,
quiet storm,Quiet storm radio format genre performed It named title song Smokey album A Quiet radio format pioneered Melvin intern radio station It eventually regarded identifiable subgenre Quiet storm marketed upscale mature audiences falling favor young listeners age hip
tampa indie,
zydeco,Zydeco music genre evolved southwest Louisiana French Creole speakers blends rhythm music indigenous Louisiana Creoles Native American people Although distinct origin Cajun music forms influenced forming complex genres native
minnesota hip hop,
texas metal,
tucson indie,
american choir,
buffalo ny metal,
dayton indie,
dfw rap,
hawaiian indie,
military rap,
new orleans americana,
pittsburgh rap,
pittsburgh rock,
stride,Stride STRIDE refer
usbm,
apostolic worship,
boston hip hop,
charlottesville indie,
dirty texas rap,
alabama metal,
atlanta metal,
cleveland indie,
east coast reggae,
norman ok indie,
nyc metal,
alternative americana,
cascadia psych,
nyc rap,
portland metal,
san diego rap,
swamp pop,Swamp pop music genre indigenous Acadiana region south Louisiana adjoining section southeast Created young Cajuns combines New rhythm country traditional French Louisiana musical Although fairly obscure swamp pop maintains large audience south Louisiana southeast Texas acquired small passionate cult following United Northern
cincinnati indie,
contemporary r&b,
eau claire indie,
lafayette indie,
native american flute,The Native American flute flute held open finger collecting breath player second chamber creates player breathes end need block outside breath slow air second sound design sound hole proximal end sound chamber breath vibration causes steady resonance air sound chamber creates American flutes comprise wide range varied classes woodwind
american post-rock,
arkansas hip hop,
