genre, definition
bebop, now's woody'n ornithology 'round confirmation anthropology yesterdays scrapple minor billie's groovin' yardbird relaxin' woody lester indiana willow stella stablemates chasin'
bedroom pop, maybe talk
belgian hip hop, niet tout dans c'est freestyle
belgian indie, leave pretty walking
belgian rock, voor mijn waar liefde niet laat alles
belly dance, tabla inta enta habibi lamma alby taksim leila albi hawa leyla bent salam drum amar
bengali folk, aami tumi aamar keno jodi prem tomar guru amar
bgm, cafe coffee relaxed relaxing mellow chill jazz smooth peaceful warm calm quiet sunny moment piano wonderful winter
bhajan, aarti jagdish shiv mandir ambe shri nand shree mangal govind ganesh prabhu maiya ganpati hanuman chalo shirdi darshan dhanya pawan
bhangra, boliyan nachdi gabru nachna punjabi mitran putt punjab jatt pind kuri munda mirza jind balle desi jawani dhol yaar tere
bhojpuri pop, hamar holi bhola naya tani maiya balam leke saiyan jawani kamar chala bina bhar maza kahe bhole driver laga chhod
big band, limehouse louis tuxedo o'clock moten bugle swingin' dinah stardust honeysuckle moonglow margie jersey stompin' beale dixieland wolverine alamo muskrat coquette
big beat, edit bass chase acid theme disco electric return funky check dirty future power strange fear sound move rise shake face
big room, extended mixed rave lose drop memories
binaural, gamma theta beta brainwave alpha delta frequency concentration tuning tone naturally bowls ambient focus pulsing brownian mindful drone deeply calming
black comedy, women kids getting family people
black death, funeral evil
black metal, satanic possessed infernal unholy nocturnal satan towards morbid pagan wrath funeral within ancient sons eternal darkness beyond hail devil's those
black thrash, satanic unholy metal total evil final beyond
blaskapelle, marsch lustige tiroler alte musik walzer polka goldene zwei hoch unter heimat erinnerung hliche beim freunde mein unser gute wenn
blasmusik, marsch lustige tiroler beim walzer polka zwei alte goldene erinnerung heimat mein unter freunde herz hoch liebe unser sonne sind
bluegrass, clark banjo cumberland lonesome katy soldier's cluck kentucky pines blackberry shady nashville tennessee sally pilgrim tragic fiddle weary footprints corn
bluegrass fiddle, sally tennessee
bluegrass gospel, cabin kentucky he'll mother's lonesome tennessee sally drifting lord church orange shall amazing working jesus we'll highway country mountain swing
blues, worried mojo luck goin' mean howlin' highway hoodoo catfish motherless messin' walkin' boogie leavin' juke lonesome lowdown babe hurts kansas
blues rock, hoochie spoonful mojo catfish howlin' smokestack goin' crossroads hurts messin' highway driftin' voodoo rollin' leavin' babe tore guitar band further
blues-rock guitar, trouble talk
bmore, shake work fuck
bohemian baroque, sonata trio concerto
bolero, desvelo sabr vereda obsesi rayito nosotros quieras ansiedad solamente orilla campanitas presentimiento dejan enamorada madrigal delirio sombras barca quiz amanec
bolero cubano, nosotros guajira pensamiento odio seguir ausencia junto lagrimas ayer ahora olvido grimas cancion verdad rumba alma sabes lamento cosas palabras
bolero mexicano, desvelo vereda piensa enamorada barca mentira golondrina solamente anitas imposible novia nuestro ojos sabor celos quieras dejame ausencia cari negra
bongo flava, sina bado
boogaloo, guaguanc mambo ritmo
boogie-woogie, swanee louis chicago honky alley shuffle worried rockin' kansas luck mojo o'clock rider goin' mean walkin' jumpin' cryin' georgia lonesome
boom bap, shark supreme coke crack shots hood science drug rare dollar corner gods food triple business guns pray cocaine tony grind
boom bap brasileiro, quem tudo
boom bap espanol, interludio otro
bornesange, lille skal rundt hvem sangen hvor hvad hvis solen ikke igen kommer
bosnian pop, zena nisam nemoj nisi suze pusti nije crna kako majko tebe nema samo zbog ljubavi imam budi zivot zasto mene
bossa nova, barquinho insensatez desafinado tinha garota samba corcovado berimbau fotografia felicidade dindi manh aquarela morro brigas caminhos modinha luiza chega causa
bossa nova jazz, samba noite saudade minha canto
bossbeat, champion heroes level warrior brand dangerous watch rise feels alive boom higher start monster catch eyes coming work feeling gold
boston hip hop, trust play
bounce, booty shake bitch ghetto drop beat fuck
bouzouki, horos omorfi stou tragoudi otan thalassa matia enas stin apopse ston agapi thelo mesa tora
bow pop, lullaby winter
boy band, tonight perfect close
bozlak, turnam seher sevdi gelin bizim sultan kara sabah gurbet garip yalan aman benim seni beni deli yine bana
brain waves, gamma binaural theta brainwave alpha creative brownian delta beta ambient focus humming studying concentration powerful tuning calming harmonic dreamy frequency
brass band, bourbon mardi james louis woman second
brass ensemble, fanfare ding march hark suite overture concerto amazing rest holy prelude
brazilian ccm, rito senhor deus cordeiro vinde presen aleluia louvor creio adorar santo digno cura gratid nossa colo fonte milagre livre quero
brazilian classical, valsa sonatina sonata suite piano
brazilian death metal, hate rise
brazilian edm, extended lose bass move sexy shake body drop disco game funky feeling club dirty lights beat work about somebody close
brazilian emo, sobre mais quando nada vivo
brazilian gospel, playback presen deus rito adorar senhor aleluia milagre cordeiro creio adora louvor amado filho santo igreja livre vencedor estou palavra
brazilian hardcore, espelho contra viol sangue morte homem sobre guerra cidade medo mais punk nova sempre quem quando nada onde tudo tempo
brazilian hip hop, introdu interl favela ouro plano quem cypher jogo preto enquanto liga isso novo melhor mais sangue papo liberdade vamo minha
brazilian indie, cidade homem tudo samba corpo dois fogo coisas olhos noite minha quem mais hist menina quando isso essa tempo cora
brazilian jazz, insensatez carinhoso tinha berimbau corcovado desafinado garota aquarela barquinho dindi morro samba choro tristeza valsa frevo felicidade manh carioca voce
brazilian modern jazz, choro valsa sete frevo samba volta cora casa tempo
brazilian post-hardcore, olhos mais quando vivo entre
brazilian punk, inferno homem sangue quanto medo tudo cidade ningu minha tenho mais quem quando vivo mundo sempre noite agora nada quero
brazilian punk rock, ningu cidade mais quero nada quem minha tudo mundo tempo quando vivo
brazilian reggae, ilha caminho leve stico novo vivo viver tudo minha tempo chuva deixa fogo mais pode homem quero menina quem deus
brazilian rock, amanh tudo mais mesmo vivo pouco medo stico quase tempestade quando ncio vezes enquanto perto talvez homem quem dias tempo
brazilian soul, samba quero quem
brazilian thrash metal, fear human evil kill hate
breakbeat, bass drop bounce funky funk disco acid check future pressure shake kick electric blow dirty jump roll play move everybody
brega, volte deixe marcas esquecer estou lembran preciso cansei quero cora perdoa embora tenho nosso ainda voltar fazer menina esque minha
brega funk, bota soca senta sentada fode bumbum mete toma sequ jogando taca desce descendo sentando joga sentar vapo aquecimento passinho bonde
brega paraense, ncipe anjo mega nossa quero super volta amar tudo mais cora
brega romantico, liga fica quero pode ainda agora cora deixa mulher minha saudade quem nosso volta porque vivo amar mais tudo nunca
brega saudade, volte esquecer gosto estou quero preciso lembran louco mulher deixe sonho menina noite ainda nosso cora adeus ningu minha quem
breton folk, bale gavotte rond scottish suite jean vieux trois marche fille dans polka valse belle quand danse c'est j'ai chant
brill building pop, what'd remastered twistin' pledging unchained tammy you've since twist cupid he's blowin' gonna cried walkin' you'll blueberry foolish chapel yesterday's
british blues, spoonful mojo hurts rollin' mean highway sitting woman shake trouble goin' fool boogie looking interview dust country crying stormy guitar
british brass band, fanfare march overture prelude
british choir, dulci nunc coventry bethlehem bleak magnum ding magnificat hark unto verum holly lamb deum jesu thou adam missa psalm while
british classical piano, nocturne variations sonata prelude
british contemporary classical, clarinet string violin oboe chorale cello magnificat variations songs piano missa concerto lament symphony sonata suite psalm pieces five four
british dance band, oughta goodnight jeepers sweetheart underneath nightingale nobody's thanks dinner isle there's isn't june tiger south september begin moonlight there'll makin'
british experimental, untitled four
british folk, bonny bold lark maid banks cruel cuckoo polly rambling john trees jolly fair bonnie poor farewell false captain sally ballad
british invasion, what'd mono you've babe memphis gonna funny really johnny interview crying you'll woman yesterday fool many send summertime loving honey
british jazz, five seven peace
british modern classical, cello sonatina elegy violin nunc cradle oboe english songs symphony deum variations sonata magnificat clarinet string suite pieces toccata scherzo
british orchestra, symphony adagio allegro serenade overture concerto
british soundtrack, titles credits hospital training rooftop ambush following finding opening stealing arrival meeting attack reunion saving remembering chase wedding aftermath henry
britpop, teenage butterfly saturday people these sometimes standing stone magic coming yeah start bird moving ballad theme bright fear girls lucky
broadway, finale overture prologue opening reprise anyone there's goes were maybe happiness very loved favorite funny once wonderful anything someone goodnight
brooklyn drill, shit different talk
brostep, drop kill move head
brutal death metal, condemned perpetual morbid flesh post mass chaos human funeral path beyond kingdom killing kill dawn divine frozen march eternal blind
bubble trance, club extended bass future
bubblegrunge, audiotree sick sorry maybe perfect cool
bubblegum dance, megamix extended club rhythm together around gimme kiss touch boys follow everybody close perfect gotta hear sing sunshine magic move
bubblegum pop, what'd it'll lovin' unchained really gonna there's blowin' you've gotta jingle babe since funny dancin' we'll crying mono rudolph write
bulgarian pop, taka samo kato
burmese pop, chit sone sait mone tate thay tine lone lite char sein chain tone main
bush ballad, waltzing click flash billy
c-pop, hong unplugged feng chang wang opening overture medley demo encore acoustic version part crying piano kiss remastered talk tonight dancing
c86, untitled honey everybody kiss perfect
cajun, bayou allons jolie valse madame j'ai louisiana grand petite step waltz c'est
cali rap, facts hella shit livin bitch trippin neva bands nigga tryna niggas gang gettin risk playin ratchet bars turnt thang slide
california hardcore, self stand
calming instrumental, twinkle brahms hush nocturne peaceful lullaby sleeping amazing gentle sunshine inner winter autumn mary rest quiet through wind holy piano
calypso, carnival woman
cambodian pop, bong mean
campursari, kembang kangen
canadian blues, shake gotta
canadian ccm, holy lord jesus
canadian celtic, cape jigs belle mary
canadian classical, string violin songs piano
canadian contemporary country, drink about
canadian country, drink maybe gonna kind lucky won't silver lonesome other these santa anything many train were someone should roll somewhere there's
canadian hip hop, problems drip paid freestyle gang stick diamonds demons pull different trap rich myself trust dope talk made hood pain fast
canadian indie, north northern middle lucky kids modern tired nowhere empty strange half snow ballad poor bird american almost dear water maybe
canadian metal, hell heavy burning
canadian pop, snow until kiss smile santa find sorry somebody save tonight leave nobody holy these perfect talk won't true
canadian punk, hate wake
canadian singer-songwriter, gypsy whiskey many goodnight maybe thousand flowers north love's poor middle bird these birds california highway ballad silver mary seven
canadian soundtrack, flashback opening main meet battle escape return second final
cancion infantil latinoamericana, elefante ronda vaca gallina pajarito caballito cumplea colores familia hola arroz estaba cinco duerme cuento burro burrito jugando vengan sapo
cancion melodica, puede quieras peque muchacha buenos quisiera eres noche canta hombre contigo tienes poco soledad verdad sera nombre sabor esta mundo
cancoes infantis, natal olha todos noite vamos
cantautor, directo barcelona canci tinc vull quan lluna abril sota madrid nana nadal palabras tren cancion balada avui salir hombre veces
cantautor catala, quan vull sense temps dona terra
cantautora argentina, zamba canci agua tiempo luna nada coraz canto
cante flamenco, fandangos buler tangos tientos alegr fandango malague sevillanas sevilla gitano aires sole gitana manuela fuente plaza triana puerta pena querer
canti alpini, vola addio valzer vecchio ricordi preghiera amici cuore madonna silenzio chitarra piccola testamento buon quel mamma ballata ponte canzone sotto
canto popular uruguayo, milonga candombe campo coplas canci zamba guitarra palabras tierra romance soledad hombre viejo carta desde gente noche flor casa vivo
cantopop, overture medley opening acoustic demo encore version piano dear sorry prelude talk
canzone d'autore, ballata citt storia l'uomo nostra uomo sono cose giorno lettera notte parole perch domani ninna questo amore questa l'amore quello
canzone napoletana, ammore vurria surdato dicitencello chella passione core voglio reginella torna tutta chitarra napoli stasera anema canzona storia senza bene tarantella
capoeira, berimbau mestre cobra bahia roda jogo adeus viola menino samba menina quando quem minha tempo mundo santa
carimbo, sereia menina festa
carnatic, ragam varnam thillana tillana nagumomu nannu mangalam mamava bhajare slokam ninnu karunai sree rama pahi thaye muruga manasa enna amba
carnatic instrumental, thillana ragam varnam tillana nagumomu mamava bhajare manasa amba mangalam enna bhajan raga maha deva rama krishna
carnatic vocal, thillana varnam tillana ragam slokam mangalam nannu mamava nagumomu ninne bhajare ninnu rama muruga saraswathi sree pahi amba janani karuna
carnaval, laat bent leven maar lekker vanavond mijn niet feest jouw leef blijf waar mooi alleen kijk waarom geef zonder voel
carnaval limburg, mien veer lekker weer leef leve vaan geef dich mich eine lang alles danse dans nach same viva
catalan folk, nadal sota lluna quan dels sant tinc joan vull cant barcelona mare dansa jota roman vent barca balada festa ball
cathedral choir, nunc bleak coventry magnificat ding hark thou psalm lord once sing jesus
caucasian classical, symphony concerto piano
ccm, performance maker faithful christ greater overflow redeemer holy worthy revival jesus lift reigns grace goodness praise emmanuel hallelujah unto glorious
ceilidh, reels jigs canadian highland waltz
cello, sonata suite
celtic, humours maid lark paddy galway carrickfergus parting planxty dublin reels moved bonny bean banks irish bold jigs reel maggie loch
celtic harp, planxty eleanor lord
celtic punk, drunken irish whiskey fields molly foggy drink drunk auld town boys johnny ballad leaving dirty star
celtic rock, drunken irish loch galway whiskey bonnie auld paddy rocky fields johnny danny captain leaving boys farewell town queen mary john
cha-cha-cha, mambo rico
chaabi marocain, zine hbibi sidi andi dani lalla hada wach rani allah
chakra, sacral chakras root balancing unlock throat reiki tibetan improve spirituality shamanic oriental salutation awareness vital increase chanting transcendental kundalini mindfulness
chalga, samo kato
chamame, villa pago poncho zambita enganchados corrientes pampa santiago chacarera zamba metro campo hermano puerto vidala nostalgias gatito abuelo cantor coplas
chamber orchestra, concerto symphony serenade adagio suite
chamber pop, sister snow ballad untitled were bird winter wonder silver won't water
chamber psych, silver fear trouble stars through john same other strange shadow days these golden
champeta, perro mala mujer dame eres
channel pop, titanium happier roar wrecking blank radioactive photograph scientist acoustic woods castle shape attention rules liar team diamonds thinking perfect counting
chanson, fille l'amour quand maison amours qu'est femme filles pauvre l'homme gens tais j'ai suis voudrais mots rien l'enfant plus quelque
chanson humoristique, suis petit c'est tout comme dans
chanson paillarde, femme viens vive c'est petite quand petit j'ai dans
chanson quebecois, blanc quand joyeux l'enfant j'ai veux l'amour t'aime suis chante pleure minuit t'en jour vivre peux soir reviens vieux enfants
chant religieux, seigneur gloire voici dieu notre joie esprit messe lumi aujourd'hui sois nous vous viens fils mains alleluia crois hymne christ
charanga, goza descarga salsa ritmo baila mambo vamos
charango, danza flor
chasidic pop, nigun adon
chicago blues, mojo worried hoochie juke alley luck highway boogie mean goin' walkin' babe lonesome everything's woman treat hurts crying baby's gonna
chicago drill, bars gang block trap shit freestyle fuck bitch play letter street gotta
chicago house, acid jack work body
chicago rap, bars drill gang niggas hook juice trap shit gucci freestyle fuck aint hood bout bitch block boss damn pressure check
chicago soul, since found you've gotta gonna
chicano rap, gangster homies cali payback southside gangsta dedicated homie mexican hood enemies west neighborhood county gang skit haters rollin streets california
