genre,definition
trap,Trap subgenre hip hop music originated Southern United States The genre gets Atlanta slang word house exclusively sell Trap music uses synthesized drums characterized complex tuned kick drums long decay Roland drum lyrical content focuses drug use urban It utilizes instruments focuses exclusively snare drums genre include producers Kurtis Mannie Shawty DJ Screw rappers Young Gucci Mane coined term album Trap The modern trap sound popularized producer Lex produced influential Waka Flocka Flame album Flockaveli cofounded prolific production team crossing mainstream trap popular forms American consistently dominating Billboard Hot artists Cardi Lil Uzi Post Young Travis Scott achieving chart songs featuring production inspired trap It influenced music pop Ariana Miley Rihanna Its influence heard reggaetón In popular form music time Nielsen coinciding continued rise In song Town Lil Nas X Billy Ray broke record spending weeks Billboard Hot fastest song reach Diamond
latin pop,Latin pop Spanish Pop pop music subgenre fusion music production Latin music genres Latin America Originating Latin pop musicians Portuguese Brazilian Romance Creole Latin pop usually combines upbeat Latin music American pop Latin pop commonly associated dance
post-teen pop,
pop dance,popular music subgenre originated late early It generally uptempo music intended nightclubs intention danceable suitable contemporary hit Developing combination dance pop influences generally characterised strong beats uncomplicated song structures generally similar pop music dance emphasis melody catchy The tends despite notable highly having borrowed influences varied artists Such include contemporary new jack funk pop popular mainstream style music numerous artists groups perform Notable artists include Britney Kylie Christina Spice Paula Backstreet Michael Jennifer Janet Katy Lady Years Justin Ava
musica mexicana,The music Mexico diverse features wide range musical genres performance It influenced variety notably deriving culture It rarely contains influences Asians Hispanic Latino Music expression Mexican beginning nineteenth
classic rock,Rock music broad genre popular music originated United States late early developing range different styles particularly United States United It roots rock style drew directly blues rhythm blues genres music country Rock drew strongly number genres electric blues incorporated influences musical For rock centered electric usually rock group electric bass rock music time signature genre extremely Like pop lyrics stress romantic love address wide variety themes frequently social musicians began advance album ahead single dominant form recorded music expression Beatles forefront Their contributions lent genre cultural legitimacy mainstream initiated album era music industry By late number distinct rock music subgenres including hybrids like blues folk country southern raga jazz contributed development psychedelic influenced countercultural psychedelic hippie New genres emerged included progressive extended artistic glam highlighted showmanship visual diverse enduring subgenre heavy emphasized In second half punk rock reacted producing energetic social political Punk influence new eventually alternative alternative rock began dominate rock music break mainstream form indie Further fusion subgenres including pop electronic rap rap conscious attempts revisit including garage revivals The saw slow decline rock mainstream popularity cultural hip hop surpassing popular genre United embodied served vehicle cultural social leading major subcultures including mods rockers United Kingdom hippie counterculture spread San Francisco US punk culture spawned emo Inheriting folk tradition protest rock music associated political activism changes social attitudes drug seen expression youth revolt adult consumerism At commercially highly leading charges selling
r&b,eighteenth letter modern English alphabet ISO basic Latin Its English ar plural Ireland letter eighth common letter English common consonant letter form ending certain words centre varieties English British Canadian English uses unlike American ending usually replaced This affect
permanent wave,A permanent commonly called perm permanent called distinguish hairstyle consisting waves curls set The curls number applied thermal chemical In chemicals applied wrapped forms produce waves The process chemical straightening hair flattened instead curled chemical
tropical house,Tropical known trop subgenre house derivation tropical elements dancehall Balearic Artists genre featured summer festivals The genre popularized artists including Thomas Lost Seeb term began joke Australian producer Thomas gone gain popularity The term confused tropical genre instead combines feeling trance beats progressive electro
mellow gold,
soft rock,Soft rock known light rock derivative form pop rock originated late region Southern California United The style smoothed edges pop relying melodic songs lush Soft rock prevalent radio eventually metamorphosed form synthesized music adult contemporary
alternative metal,Alternative metal known genre heavy metal music combines heavy metal influences alternative rock genres normally associated Alternative metal bands characterized heavily guitar mixture accessible melodic vocals harsh vocals unconventional sounds heavy metal The term use came prominence genres considered alternative metal movement included rap metal funk influenced prominent nu Nu metal expands alternative metal combining vocal stylings downtuned riffs elements hip thrash hardcore punk industrial metal began bands like Faith No Living The genre achieved success popularity bands like Alice In late early nu metal achieved mainstream popularity mainstream success bands like Limp Papa System Linkin Slipknot After nu popularity began bands like Limp Bizkit experiencing decline album sales nu metal bands moving alternative popularity continued continued success bands like Godsmack System Down mainstream success emerging bands like Three Days Grace Breaking
pop rock,Pop rock typeset fusion genre emphasis professional songwriting recording emphasis attitude rock Originating late alternative normal rock early pop rock influenced original style rock roll It viewed distinct genre field music overlaps pop The detractors pop rock deride commercial product authentic rock
k-pop,short Korean popular form popular music originating South Korea South Korean It includes styles genres hip electronic classical traditional Korean music The term popular South Korean pop music called gayo While general term popular music South Korea pop music colloquially narrower sense Korean music artists associated entertainment idol industry regardless modern form genre emerged formation hip hop boy band Seo Taiji Their experimentation different styles genres music integration foreign musical elements helped reshape modernize South contemporary music culture began idol music grew subculture amassed enormous fandoms teenagers young After slump early idol TVXQ BoA started new generation idols broke music genre neighboring Japanese market continue popularize internationally With advent online social networking services South Korean TV current spread South Korean known Korean seen East Asia Southeast Latin North Southern Africa East Middle East Western gaining international experienced significant growth marking increase revenue As Korean popular music ranked number music markets worldwide according International Federation Phonographic Music Report BTS Blackpink cited artists leading market In experienced year experienced growth positioned major market
electropop,Electropop hybrid music genre combining elements electronic pop Writer Hollin Jones described variant heavy emphasis electronic The genre developed saw revival popularity influence late
nueva musica mexicana,
country,Country called country genre popular music originated church music Southern gospel American folk music forms including cowboy Western music styles New Red Texas Its popularized roots originate Southern Southwestern United States early music consists ballads dance tunes commonly known Tonk generally simple folk harmonies accompanied string instruments electric acoustic steel guitars pedal steels fiddles Blues modes extensively recorded term country music gained popularity preference hillbilly came encompass Western evolved parallel hillbilly music similar In United country music listened rush hour radio genre evening second popular morning term country music today describe styles The origins country music found folk music working class Americans American It historical roots indigenous music North Celtic early music British Irish traditional singing French folk traditional folk music
album rock,rock originally called FM radio format created United States focuses repertoire rock albums currently associated classic radio established US radio stations dedicated playing album tracks rock artists hard rock progressive rock In AOR characterized mellifluous sound sophisticated production considerable dependence melodic Using research formal programming create album rock format greater commercial AOR format achieved tremendous popularity late early early radio term normally abbreviation meaning radio stations specialized classic rock recorded late term commonly conflated radio format uses initialism AOR covers album tracks range rock soft rock pop
contemporary country,
canadian pop,
southern hip hop,Southern hip known Southern South Coast hip dirty blanket term regional genre American hip hop music emerged Southern United especially New cities constitute rap music reaction flow hip hop culture New York City Los Angeles area considered major American hip hop alongside East Coast hip hop West Coast hip Many early Southern rap artists released music independently mixtapes encountering difficulty securing contracts By early Southern artists attained decade went mainstream underground varieties Southern hip hop popular influential entire
desi pop,
filmi,Filmi music soundtracks music produced mainstream motion picture industry written performed Indian In music directors main body songs performed playback singers genre represents music sales market music tends appeal Pakistan especially Indian Songs different languages depending target example Hindi Playback singers usually noted ability sing charisma Filmi playback level success appeal tied involvement film soundtracks cinema releases highest box office Song Dance Indian archive presentation filmi praised generally fitting term tradition exuberant music melodrama closely identified Hindi commercial cinema produced Bombay truly
urban contemporary,Urban contemporary known urban hip urban simply music radio The term coined New York radio DJ Frankie Crocker early synonym Black Urban contemporary radio stations feature playlist entirely Black genres quiet urban adult hip Latin music Latin Chicano Chicano Caribbean music reggae Urban contemporary developed characteristics genres urban music largely US virtually urban contemporary formatted radio stations United States located cities sizeable New York New Los Hartford contemporary music includes contemporary elements incorporate production elements found urban urban urban
melodic rap,Pop rap known pop hip melodic melodic genre music fusing lyricism hip hop music pop preference melodious vocals catchy This genre gained mainstream popularity influences roots pop rap trace hip hop artists LL Cool Beastie The lyrics choruses similar heard pop
hard rock,Hard rock heavy rock loosely defined subgenre rock music typified aggressive vocals distorted electric Hard rock began psychedelic blues rock Some earliest hard rock music produced Rolling Cream Jimi Hendrix In late bands Jeff Beck Iron Led Golden Steppenwolf Deep Purple produced hard genre developed major form popular music Led Zeppelin Deep Purple joined Van During hard rock bands moved away hard rock roots pop Established bands comeback hard rock reached commercial peak glam metal bands Bon Jovi Def Leppard rawer sounds Guns Roses followed great success later rock began losing popularity commercial success urban grunge later Britpop Despite bands adopted hard rock sound saw renewed interest established attempts new bands emerged garage rock revival Out movement came garage rock bands like The White Interpol later Black In bands managed sustain highly successful recording
electro house,Electro house genre electronic dance music characterized heavy bass tempo beats The term describe music DJ Mag Top including Benny Steve Aoki
nu metal,Nu metal stylized subgenre alternative metal combines elements heavy metal music elements music genres hip alternative Nu metal bands drawn elements influences variety musical including multiple genres heavy Nu metal rarely features guitar solos displays technical genre heavily syncopated based guitar Many nu metal guitarists use guitars produce heavier DJs occasionally featured nu metal provide instrumentation turntable scratching electronic Vocal styles nu metal include screaming Nu metal key genres new wave American heavy metal popular late bands artists Limp Slipknot Kid Rock releasing albums sold millions Nu popularity continued early bands Papa selling came peak Linkin album Hybrid oversaturation bands combined underperformance releases led nu leading rise metalcore nu metal bands disbanding abandoning established sound favor nu metal bands combine nu metal genres metalcore nu metal bands early returned nu metal Bands like Of Mice Issues My Ticket Home combine nu metal metalcore Artists like Poppy Rina Sawayama integrate nu metal sounds electronic pop music late early
indie pop,Indie pop typeset music genre subculture combines guitar pop DIY ethic opposition style tone mainstream pop It originated British late subsequently generated thriving club gig Compared indie genre relatively In later definition indie pop bifurcated mean bands unrelated DIY pop Subgenres include chamber pop twee
alternative rock,Alternative category rock music emerged independent music underground widely popular refers distinction mainstream commercial rock pop The original meaning referring musicians influenced musical style DIY ethos punk alternative rock varied terms social regional Throughout magazines college radio word mouth increased prominence highlighted diversity alternative distinct styles music noise indie In September Billboard introduced charting system reflect rise format radio stations United States stations like Los Angeles New playing music rock alternative styles achieved minor mainstream notice signed major Most alternative remained signed independent labels received relatively little attention mainstream With breakthrough Nirvana popularity grunge Britpop movements alternative rock entered musical alternative bands success bands The White Stripes The Strokes early influx new alternative rock bands drew inspiration garage new wave found commercial success early mid establishing garage rock revival revival
uk pop,
latin hip hop,Latin known latin music recorded artists United States Hispanic Latino descent countries North Central South
rock en espanol,Rock en español term widely world refer kind rock music featuring Spanish Unlike acts reached worldwide success different countries lack Despite rock en origins late rock acts achieved best nationwide fame Internet consolidated rock en español artists internationally popular help promotional campaign mid mid called en tu Some specific styles influenced folkloric rhythms developed Some prominent styles Latin rock fusion rock music Latin American Caribbean folkloric sounds developed Latino Latin alternative rock scene blended Latin sound genres like Caribbean Andalusian style emerged
ranchera,Ranchera canción ranchera genre traditional music It dates years Mexican Rancheras today played virtually regional Mexican music Drawing rural traditional folk ranchera developed symbol new national consciousness reaction aristocratic tastes classic songs usually talk life Mexico rural portray life Mexico time refers romanticizing love affairs
modern bollywood,
tropical,Tropical music música term Latin music industry refers music genres deriving influenced areas It includes islands Puerto The Dominican Caribbean coastal regions Colombia term tropical music created cover music hispanophone Caribbean excluding Cuban category niche American lesser extent music later century Cuban tropical music gained broader meaning began order distinguish Caribbean genres cumbia son cubano inland genres tejano
alt z,
gangster rap,Gangsta rap gangster initially called reality emerged late controversial subgenre lyrics assert culture values typical American street gangs street Many gangsta rappers flaunt associations real street like Crips Gangsta pioneers Schoolly D Philadelphia Los Angeles especially In record producer rapper Snoop Dogg gangsta rap took rap lead popular rap recurrently accused promoting disorderly conduct broad especially drug Gangsta defenders variously characterized artistic depictions literal endorsements real life American suggested lyrics voice rage social oppression police accused critics hypocrisy racial gangsta rap assailed black public including Spike pastor Calvin Butts activist Delores
atl hip hop,
art pop,Art pop typeset loosely defined style pop music influenced art theories ideas art fine The genre draws pop integration high low emphasizes gesture personal Art pop musicians deviate traditional pop audiences rock music instead exploring postmodern approaches ideas status commercial notions artifice questions historical British American pop musicians Brian Phil Beatles began incorporating ideas pop art movement English art pop musicians drew art school America style drew influence pop artist Andy Warhol affiliated band Velvet The style experience glam rock artists David Bowie Roxy embraced theatricality throwaway pop tradition continued late styles synthpop British New Romantic developing artists rejected conventional rock instrumentation structure favor dance styles The saw new art pop trends hip hop artists drawing visual art vaporwave artists exploring sensibilities contemporary capitalism
country road,Country Road Country Roads refer Road country music band Road Australian clothing James Taylor Roads Canadian TV series
corrido,The corrido popular narrative metrical tale poetry forms The songs daily life vaquero socially relevant Corridos widely popular Mexican Southwestern American frontier development Tejano music New Mexico later influenced Western The corrido derives largely known form consists salutation singer prologue story moral farewell It popular genre today Mexico corridos popular Chilean celebrations Fiestas
new wave pop,
singer-songwriter,A musician performs musical including lyrics In United category built role transmuted different eras popular provide sole accompaniment entire composition typically guitar In early digital production tools GarageBand began compose
underground hip hop,Underground commonly known indie underground umbrella term hip hop music outside general commercial It typically associated independent signed independent labels label Underground hip hop characterized socially unifying universal theme AllMusic suggests sonic refers community fans support independent Music scenes strong ties underground hip hop include alternative hip hop conscious hip Many artists considered today previously broken Billboard
neo mellow,
french hip hop,French hip hop hip hop music style developed France second largest market world United
sad sierreno,
german hip hop,German hip hop refers hip hop music produced Elements American hip hop graffiti art diffused Western Europe early
latin alternative,Latin brand Latin rock music produced combining genres like alternative hip new pop punk ska traditional Latin Europeans Latin Americans countries French Catalan
norteno,Norteño Norteña música genre Regional Mexican The music based duple triple metre lyrics deal socially relevant norteño love The accordion bajo sexto traditional characteristic Norteña music developed late mixture local Mexican music folk genre popular Mexico United especially Mexican popular countries far Colombia Though originating rural norteño popular rural urban conjunto norteño type Mexican folk It includes diatonic bajo electric bass double
colombian pop,
pop urbaine,
country rock,Country rock subgenre popular formed fusion rock It developed rock musicians began record records late early These musicians recorded rock records country vocal additional characteristically pedal steel Country rock began artists like Buffalo Michael Bob Nitty Gritty Dirt Flying Burrito The International Submarine Band reaching greatest popularity artists Emmylou Linda Michael Charlie Daniels Pure Prairie Country rock influenced artists including Grateful Creedence Clearwater Rolling George solo playing development Southern
latin rock,Latin rock term describe subgenre blending traditional sounds elements Latin American Hispanic Caribbean folk rock widely media refer kind rock music featuring Spanish Portuguese This led controversy scope rock confused music Latin rock en closely related Latin alternative scene combines Latin elements alternative electronic indie hip hop term refer
mexican pop,Mexican pop music genre produced particularly intended teenagers young country exports entertainment Spanish Mexican pop limited Latin America interest type music increased Luis Paulina Angélica debuts mainstream USA southwestern United Spanish guitar rhythms Mexican musical influences inspired music American musicians Ritchie Danny Flores The Sam Roy Orbison Herb public exhibited moderate interest media attention focused La Ola Inglesa Andy relocated Mexico star motion records During pop music produced Mexico consisted versions Singers musical groups like César Angélica Enrique Alberto Manolo Johnny Julissa Los Teen Tops performed cover versions songs Elvis Nancy Paul Joan Baez substantial success guitarist Carlos Santana United States late large number bands sprang Most bands sang Spanish keeping foreign commercial exposure
arrocha,The Arrocha style originated interior notably city seresta styles musical thematic musical lyrics based love stories people interior metropolitan regions Quickly spreading gained popularity Northeast region Nowadays popular
viral rap,
funk carioca,Funk carioca known favela funk parts baile funk Brazilian simply hip style Rio de blending funk rap subgenres Miami bass gangsta refers actual parties discotheques music played meaning Although originated increasingly popular working classes parts In funk carioca simply known musically different internationally In shows urban Afro beats
reggaeton colombiano,
folk rock,Folk rock hybrid music genre combines elements folk rock arose United United Kingdom In folk rock emerged folk music Performers Bob Dylan members earlier played folk blend sounds rock folk adopting use electric instrumentation drums way previously discouraged folk The term initially music press June describe commercial success cover version Tambourine debut album recordings rock albums Bringing It All Back Home Highway Revisited Blonde Blonde folk Simon use electric backing records new Buffalo controversial appearance Newport Folk Festival July backed electric pivotal moment development late Britain eclectic British folk rock style created Fairport Convention Alan Inspired British psychedelic folk North American style folk British folk rock bands began incorporate elements traditional British folk music leading including overtly English folk rock Albion Band Celtic
j-pop,stylized abbreviated form popular natively known simply pops form popular music entered musical mainstream Japan Modern roots traditional music significantly pop rock replaced kayōkyoku Singing term Japanese popular music Japanese music bands Happy End fused Beatles Beach rock Japanese music popularity international popularity Westerns appeal work musicians like Charlie Nagatani venues including Little mainstream producer Nujabes work Samurai Japanese pop culture seen anime hip Other trends Japanese music include early Namie Latin gospel music scenes defined new wave crossover fusion acts late Yellow Magic Orchestra Southern All Popular styles Japanese pop music include technopop city pop
art rock,Art rock subgenre rock music generally reflects challenging approach makes use unconventional Art rock aspires elevate rock entertainment artistic opting experimental conceptual outlook Influences drawn genres experimental classical music created intention listening contemplation distinguished use electronic effects easy listening textures far removed propulsive rhythms early The term interchangeably instead characterized particular employment classically trained instrumental technique symphonic greatest level popularity early British The theatrical nature performances associated able appeal artistically inclined adolescents younger especially virtuosity Art rock associated certain period rock beginning ending arrival punk rock genre infused later popular music genres
metal,Heavy metal simply genre rock music developed late early largely United Kingdom United With roots blues psychedelic rock acid heavy metal bands developed monumental sound characterized distorted extended guitar emphatic beats famous Led Black Sabbath Deep Though came attract wide derided Several American bands modified heavy metal accessible forms sleazy sound shock rock Alice Cooper rock flashy guitar leads party rock Van During Judas Priest helped spur evolution discarding blues Motörhead introduced punk rock sensibility increasing emphasis Beginning late bands new wave British heavy metal Iron Maiden Saxon followed similar By end heavy metal fans known The lyrics performances usually associated aggression issue led accusations glam metal popular groups Bon Mötley Crüe underground scenes produced array aggressive thrash metal broke mainstream bands extreme subgenres death metal black metal remain subcultural Since popular styles expanded definition These include groove metal nu incorporates elements grunge hip
adult standards,Adult standards North American radio format heard primarily AM class A FM standards known nostalgia aimed meaning mainly people years targeted senior It primarily AM market research reveals persons age group listen music AM sizable Adult standards popular format late early way reach mature adults came age rock era mature adult contemporary radio young beautiful music MOR A typical adult standards playlist includes traditional pop music artists Frank Sinatra Tony easy listening numbers Roger Whittaker softer tunes oldies adult contemporary music originally format features big band particularly modern stations eschew Younger artists record era Harry Connick Diana played The term title reference song covered extensively artists prolonged period adult standards play true standards limited time number declined approximately fewer Because adult standards audience increased age point listeners died longer attractive format known today like contemporary decline oldies smooth jazz earlier demise easy likely die Most independently programmed adult standards stations transitioned formats classic adult contemporary music similar music skew modern
chicago rap,
house,House music genre characterized repetitive beat typical tempo beats It created DJs music producers underground club culture late DJs began altering disco songs mechanical pioneered DJs producers Chicago Frankie Ron Jesse Chip Steve Farley Marshall Phuture House music expanded American cities New York City worldwide large effect pop especially dance It incorporated major international pop artists including Whitney Janet Jackson Kylie Pet Shop Boys Madonna produced mainstream hits Lil Me Robin Feeling Many house DJs continue remixes pop House music remained popular radio clubs retaining foothold underground scenes
k-pop boy group,
soul,Soul music referred simply popular music genre originated African American community United States late early It roots gospel rhythm Soul music popular dancing record labels Atlantic Stax influential Civil Rights Soul popular directly influencing rock music music It resurgence artists like Erykah Badu genre Rock Roll Hall soul arose black experience America transmutation gospel rhythm blues form secular Catchy stressed handclaps extemporaneous body important feature soul Other characteristics response lead vocalist chorus especially tense vocal The style occasionally uses improvisational twirls auxiliary Soul music reflects identity stresses importance The consciousness led new styles boasted pride music dominated chart recordings crossed pop charts By soul music genre begun Some soul artists developed funk singers groups developed cases politically conscious By early soul music influenced psychedelic progressive leading psychedelic progressive The United States saw development neo soul There subgenres offshoots soul key subgenres soul include Motown rhythmic deep soul southern energetic soul styles combining southern gospel music Memphis sultry New Orleans came rhythm blues Chicago lighter Philadelphia lush orchestral sound psychedelic blend psychedelic rock soul
latin arena pop,
indie rock,Indie rock subgenre rock music originated United United Kingdom New Zealand Originally describe independent record term associated music produced initially interchangeably alternative rock pop primary scenes movement cultural scene based convergence noise pop jangle popular large student Independent labels Flying Nun began promote scene New inspiring key college rock bands United States Pixies Other notable scenes grew Manchester thriving use term started shift reference recording companies describe style music produced punk During grunge punk revival bands US Britpop bands UK broke term lost original The term associated bands genres remained dedicated independent By end indie rock developed subgenres related including noise math In changes music industry growing importance internet enabled new wave indie rock bands achieve mainstream leading questions meaningfulness early new group bands played version guitar rock emerged The commercial breakthrough scenes led The The White The Hives The Emo broke mainstream culture early By end proliferation indie bands referred term subgenre certain type indie way Britpop British guitar music
sertanejo universitario,Música sertaneja sertanejo music style origins countryside Brazil Its contemporary developments popular music style particularly countryside Subgenres include sertanejo de sertanejo sertanejo songs played music genre Brazilian constantly topping Brazilian music música sertaneja albums granted specific category Latin Grammy sertanejo artists times formed typically singing vocal especially major employing frequent Men traditionally dominated women Paula Maria Simone Simaria achieved mainstream success called developed consisting use guitars influenced Western pop It grown popular Brazilian youth nationwide dominated sertanejo
hip pop,Pop rap known pop hip melodic melodic genre music fusing lyricism hip hop music pop preference melodious vocals catchy This genre gained mainstream popularity influences roots pop rap trace hip hop artists LL Cool Beastie The lyrics choruses similar heard pop
neo soul,Neo soul called progressive genre popular As coined music industry entrepreneur Kedar Massenburg late market describe style music emerged soul contemporary Heavily based soul neo soul distinguished conventional sound contemporary incorporated elements ranging jazz hip African music electronic It noted music writers traditional strong female soul developed early United States United soul revival It earned mainstream success commercial critical breakthroughs including Erykah Lauryn Their music marketed alternative digitally approached ambivalent initial mainstream popularity impact sound contemporary neo soul expanded diversified musically works American international Its mainstream presence declined newer artists emerged independent means marketing In book The Essential Neo Soul music journalist culture critic Chris Campbell writes genre misunderstood artists historical social relevance validates designation current face alternative progressive soul music underground overground complete distinct origin developmental According Mark Anthony incarnations helped redefine boundaries contours black
modern alternative rock,
reggaeton flow,
sertanejo,Música sertaneja sertanejo music style origins countryside Brazil Its contemporary developments popular music style particularly countryside Subgenres include sertanejo de sertanejo sertanejo songs played music genre Brazilian constantly topping Brazilian music música sertaneja albums granted specific category Latin Grammy sertanejo artists times formed typically singing vocal especially major employing frequent Men traditionally dominated women Paula Maria Simone Simaria achieved mainstream success called developed consisting use guitars influenced Western pop It grown popular Brazilian youth nationwide dominated sertanejo
europop,Europop spelled Euro style pop music originated Europe developed form late Europop topped charts revivals moderate degrees appreciation
banda,Banda genre Regional Mexican music musical ensemble wind brass history banda music Mexico dates middle century arrival piston metal community musicians tried imitate military The bandas formed Southern Central In village different certain types brass
post-grunge,derivative grunge abrasive intense tone traditional term pejoratively label rock bands Candlebox Collective Soul emulated original sound late morphed clearly defined style married sound aesthetic grunge intense abrasive rising prominence lasted Bands Foo Puddle Breaking Three Days Collective Matchbox Nickelback achieved mainstream
sertanejo pop,
new wave,New wave loosely defined music genre encompasses styles late It originally styles music emerged punk including punk critical consensus favored umbrella term involving popular music styles including power ska specific forms punk rock It viewed accessible counterpart characteristics new wave music include humorous quirky pop use electronic distinctive visual style music videos In early virtually new act particularly employed synthesizers tagged Although new wave shares artists influenced styles lighter strains pop opposed generally political bents punk considered creatively stagnant wave commercially peaked late early numerous major artists abundance launched heavily promoted boosting In new wave declined emergence New New New Music Since new wave resurged times growing nostalgia
sierreno,
k-pop girl group,
pop punk,rock music genre combines elements punk rock power pop It defined emphasis classic pop adolescent distinguished genres drawing heavily bands Beach The genre evolved absorbing elements new college boy It considered interchangeable power pop skate emerged late groups punk bands like Bad Descendents Misfits influential pop pop punk expanded early host bands signed including Screeching T In genre saw massive widespread popularity increase bands like Green Offspring The genre popularized Warped success continued early artists Avril Sum Good Charlotte New Found acts largely indistinguishable artists tagged extent emo crossover acts Fall Out Boy Paramore popularized style dubbed emo By mainstream popularity rock bands music rare pop In late early new crop music began experiencing mainstream resurgence new acts Machine Gun KennyHoopla
